i,x,y
0,-21.649841,-12.225094
0,-21.970235,-8.771040900000001
0,-21.970235,-8.771040900000001
0,-21.750093999999997,-6.290055300000001
0,-21.750093999999997,-6.290055300000001
0,-21.139794999999996,-5.479768900000001
0,-21.139794999999996,-5.479768900000001
0,-20.750154999999996,-4.0901896
0,-20.750154999999996,-4.0901896
0,-19.739879999999996,-2.9502075000000003
0,-19.739879999999996,-2.9502075000000003
0,-15.349966999999996,1.8102253999999993
0,-15.349966999999996,1.8102253999999993
0,-13.040030999999995,4.6100544999999995
0,-13.040030999999995,4.6100544999999995
0,-12.240079999999995,6.1298584
0,-12.240079999999995,6.1298584
0,-11.228408999999996,10.864218000000001
0,-11.228408999999996,10.864218000000001
0,-9.221215899999995,10.864218000000001
0,-9.221215899999995,10.864218000000001
0,-9.2097738,6.26
0,-9.2097738,6.26
0,-5.2999349,6.244063
0,-5.2999349,6.244063
0,-4.8798055,6.080248699999999
0,-4.8798055,6.080248699999999
0,-4.1697713,6.729821499999999
0,-4.1697713,6.729821499999999
0,-4.1740013,10.831118
0,-4.1740013,10.831118
0,0.18095471000000085,10.864218
0,0.18095471000000085,10.864218
0,59.593778,10.864218
0,59.593778,10.864218
0,59.593778,-8.1498901
0,59.593778,-8.1498901
0,10.199894,-8.1498901
0,10.199894,-8.1498901
0,5.7035393,-3.5698079
0,5.7035393,-3.5698079
0,1.7998901,-3.5698079
0,1.7998901,-3.5698079
0,1.7998901,0.0
0,1.7998901,0.0
0,-4.6400269000000005,0.0
0,-4.6400269000000005,0.0
0,-11.898348,0.0
0,-11.898348,0.0
0,-14.299902,-1.8598348
0,-14.299902,-1.8598348
0,-14.090095999999999,-4.9149455
0,-14.090095999999999,-4.9149455
0,-13.370242999999999,-7.2000773
0,-13.370242999999999,-7.2000773
0,-16.310115999999997,-11.100098
0,-16.310115999999997,-11.100098
0,-19.999812999999996,-11.840103999999998
0,-19.999812999999996,-11.840103999999998
0,-21.649841,-12.225094
1,3.21,8.28
1,2.64,7.8
1,2.64,7.8
1,3.02,5.33
1,3.02,5.33
1,5.8,2.9
1,5.8,2.9
1,7.52,3.39
1,7.52,3.39
1,7.54,4.78
1,7.54,4.78
1,6.85,6.25
1,6.85,6.25
1,5.27,7.93
1,5.27,7.93
1,3.21,8.28
2,1.7998901,-4.5607962
2,-13.370242999999999,-4.5755562
2,-13.370242999999999,-4.5755562
2,-13.370242999999999,-7.200077200000001
2,-13.370242999999999,-7.200077200000001
2,-14.090095999999999,-4.914945400000001
2,-14.090095999999999,-4.914945400000001
2,-14.182476,-3.5698077000000006
2,-14.182476,-3.5698077000000006
2,-14.299906,-1.8598347000000006
2,-14.299906,-1.8598347000000006
2,-11.898348,0.0
2,-11.898348,0.0
2,1.7998901,0.0
2,1.7998901,0.0
2,1.7998901,-3.5698079
2,1.7998901,-3.5698079
2,5.7035393,-3.5698079
2,5.7035393,-3.5698079
2,10.199894,-8.1498901
2,10.199894,-8.1498901
2,5.7035392,-15.247289
2,5.7035392,-15.247289
2,5.7035392,-4.5716863
2,5.7035392,-4.5716863
2,1.7998901,-4.5607962
3,-9.2097737,9.1198567
3,-9.21,6.26
3,-9.21,6.26
3,-5.3,6.244
3,-5.3,6.244
3,-4.88,6.08
3,-4.88,6.08
3,-4.17,6.7298217000000005
3,-4.17,6.7298217000000005
3,-4.1697714,9.1198566
3,-4.1697714,9.1198566
3,-4.1740014,10.831118
3,-4.1740014,10.831118
3,-9.2212159,10.864218
3,-9.2212159,10.864218
3,-9.2097737,9.1198567
4,-13.370243,-4.3982776
4,5.7035392,-4.3982776
4,5.7035392,-4.3982776
4,5.7035392,-15.247289
4,5.7035392,-15.247289
4,-13.370243,-15.270209
4,-13.370243,-15.270209
4,-13.370243,-4.3982776
