breach,participant_id,date,condition,wall_actor_id,obstructing_actor_id,pedestrian_gender
1,1,2023-04-06,Baseline,none,none,Woman
1,2,2023-04-27,Baseline,none,none,Woman
1,3,2023-04-27,Baseline,none,none,Woman
1,4,2023-04-27,Baseline,none,none,Woman
1,5,2023-04-27,Baseline,none,none,Woman
0,6,2023-05-11,Humans,5,2,Woman
0,7,2023-05-11,Humans,5,2,Man
1,8,2023-05-11,Chairs,none,none,Man
1,9,2023-05-11,Chairs,none,none,Woman
1,10,2023-05-16,Baseline,none,none,Woman
0,11,2023-05-18,Humans,8,2,Woman
0,12,2023-05-18,Humans,8,2,Woman
0,13,2023-05-18,Humans,8,2,Man
0,14,2023-05-18,Humans,3,2,Woman
0,15,2023-05-18,Humans,3,2,Woman
1,16,2023-05-18,Baseline,none,none,Woman
0,17,2023-05-18,Humans,3,2,Woman
1,18,2023-05-19,Chairs,none,none,Woman
1,19,2023-05-19,Chairs,none,none,Woman
1,20,2023-05-19,Chairs,none,none,Woman
1,21,2023-05-19,Chairs,none,none,Man
1,22,2023-05-19,Chairs,none,none,Man
1,23,2023-05-19,Chairs,none,none,Woman
1,24,2023-05-23,Baseline,none,none,Woman
1,25,2023-05-23,Baseline,none,none,Woman
1,26,2023-05-23,Baseline,none,none,Man
1,27,2023-05-23,Baseline,none,none,Woman
1,28,2023-05-23,Baseline,none,none,Woman
1,29,2023-05-25,Chairs,none,none,Man
0,30,2023-05-25,Humans,2,6,Woman
0,31,2023-05-25,Humans,2,6,Woman
0,32,2023-05-25,Humans,2,6,Woman
1,33,2023-05-25,Humans,2,6,Man
1,34,2023-05-30,Baseline,none,none,Man
1,35,2023-05-30,Baseline,none,none,Woman
1,36,2023-05-30,Baseline,none,none,Woman
1,37,2023-05-30,Baseline,none,none,Woman
0,38,2023-06-01,Humans,7,2,Man
0,39,2023-06-01,Humans,7,2,Woman
0,40,2023-06-01,Humans,7,2,Woman
0,41,2023-06-01,Humans,7,2,Woman
0,42,2023-06-01,Humans,7,2,Woman
1,43,2023-06-01,Humans,7,2,Man
1,44,2023-06-06,Chairs,none,none,Woman
1,45,2023-06-06,Chairs,none,none,Man
1,46,2023-06-06,Chairs,none,none,Woman
1,47,2023-06-06,Chairs,none,none,Man
0,48,2023-06-06,Humans,2,3,Man
1,49,2023-08-17,Chairs,none,none,Man
1,50,2023-08-24,Chairs,none,none,Woman
1,51,2023-08-24,Chairs,none,none,Man
1,52,2023-08-25,Chairs,none,none,Woman
1,53,2023-08-25,Chairs,none,none,Woman
1,54,2023-08-25,Chairs,none,none,Man
1,55,2023-08-28,Chairs,none,none,Woman
1,56,2023-08-28,Chairs,none,none,Man
1,57,2023-08-28,Chairs,none,none,Woman
0,58,2023-08-30,Humans,5,4,Man
0,59,2023-08-30,Humans,5,4,Woman
0,60,2023-10-03,Humans,3,4,Man
0,61,2023-10-03,Humans,3,4,Man
0,62,2023-10-03,Humans,3,4,Woman
0,63,2023-10-03,Humans,3,4,Man
0,64,2023-10-03,Humans,3,4,Woman
0,65,2023-10-06,Humans,3,4,Woman
0,66,2023-10-06,Humans,3,4,Woman
0,67,2023-10-06,Humans,3,4,Woman
1,68,2023-10-06,Humans,3,4,Woman
0,69,2023-10-06,Humans,3,4,Woman
0,70,2023-10-06,Humans,3,4,Woman
1,71,2023-10-06,Humans,3,4,Man
0,72,2023-10-10,Humans,2,4,Man
0,73,2023-10-10,Humans,4,2,Man
1,74,2023-10-10,Humans,2,4,Woman
0,75,2023-10-10,Humans,2,4,Woman
0,76,2023-10-10,Humans,2,4,Woman
0,77,2023-10-10,Humans,4,2,Woman
0,78,2023-10-10,Humans,2,4,Woman
0,79,2023-10-10,Humans,4,2,Man
1,80,2023-10-10,Humans,2,4,Man
0,81,2023-10-10,Humans,4,3,Man
0,82,2023-11-09,Humans,4,3,Man
0,83,2023-11-09,Humans,4,3,Man
0,84,2023-11-09,Humans,4,3,Man
0,85,2023-11-21,Humans,4,3,Man
0,86,2023-11-21,Humans,4,3,Man
0,87,2023-11-21,Humans,4,3,Man
0,88,2023-11-21,Humans,4,3,Man
0,89,2023-11-21,Humans,4,3,Man
1,90,2024-01-24,Baseline,none,none,Man
1,91,2024-01-24,Baseline,none,none,Man
1,92,2024-01-24,Baseline,none,none,Man
1,93,2024-01-24,Baseline,none,none,Man
1,94,2024-01-29,Baseline,none,none,Man
1,95,2024-01-31,Baseline,none,none,Man
1,96,2024-01-31,Baseline,none,none,Man
1,97,2024-02-28,Baseline,none,none,Man
1,98,2024-02-28,Baseline,none,none,Man
1,99,2024-02-28,Baseline,none,none,Man
